job_title,company_name,state,office_type,salary
Software Engineer,Arrow Search Partners,NY,Hybrid,150
Software Engineer,StratasCorp Technologies,VA,On-site,NA
Developer Associate,Northwestern University,IL,Hybrid,73
Android Software Engineer 2,Intuit,GA,On-site,NA
"Software Engineer, Engineering Productivity",Warner Music Group,CA,Remote,124
Android Software Engineer 2,Intuit,CA,On-site,NA
New Grad! Software Developer,Westinghouse Electric Company,PA,Hybrid,NA
Cloud Development Engineer Summer Intern,Pegasystems,MA,On-site,NA
FEGA - Principal Systems Engineer (Active TS/SCI clearance) - R10178202,Northrop Grumman,NA,NA,104.8
Principal / Sr. Principal Systems Engineer - R10178531,Northrop Grumman,NA,NA,95.3
Cyber Security Software Developer Part Time Intern,"BAE Systems, Inc.",VA,On-site,57.2
"Software Engineer Spring Co-op, Services Engineering",Pegasystems,MA,On-site,NA
Software Engineer II,Wheels Up,NA,NA,127
Software Developer / Engineer,Scientific Research Corporation,VA,On-site,NA
Principal / Sr. Principal Systems Engineer - R10178529,Northrop Grumman,NA,NA,95.3
Technology Development Program - Software Engineering,GEICO,MD,Remote,55
"Software Engineer Summer Intern, Shared User Services",Pegasystems,MA,On-site,NA
Software Developer - Web,Uline,IL,On-site,NA
Android Software Engineer 2,Intuit,NY,On-site,NA
"Spring Intern, Data Engineer—LA Kings",AEG,CA,On-site,38.0
Software Developemet Engineer in Test,Tata Consultancy Services,GA,On-site,100
Software Developer - Web,Uline,WI,On-site,NA
Software Developer,The Reynolds and Reynolds Company,NA,NA,90
Software Engineer - GTRI-ICL - OPEN RANK (Onsite),Georgia Tech Research Institute,GA,On-site,NA
Associate Embedded Software Engineer - Embedded Software Engineer,Capgemini Engineering,NA,On-site,46.4
Data Engineer,AMEND Consulting,OH,On-site,NA
E-Trading Developer,Jefferies,NA,NA,120
Atlas Graduate Program: Software Engineer (2025),Siemens EDA (Siemens Digital Industries Software),OR,Hybrid,103.84000000000002
C++ Developer/Software Engineer,Capgemini Engineering,NA,On-site,NA
ServiceNow Developer - GRC/IRM,Planet Technology,NA,NA,NA
Developer,Tata Consultancy Services,OH,On-site,100
Release Engineering Summer Intern,Pegasystems,MA,Remote,NA
"Data Engineer Intern – Summer 2025 – Onsite in Dallas, TX",Conifer Health Solutions,TX,On-site,NA
Cloud Release Engineer,HashiCorp,NA,NA,153
Service Engineer,Bruker,VA,On-site,NA
Intern-Test Engineer,General Dynamics Ordnance and Tactical Systems,NE,On-site,40.0
Summer 2025 Development Operations Intern,Greif,OH,Hybrid,NA
Systems Engineering Intern,Crane Company,CA,On-site,48.0
Test Automation Engineer,Pierce Manufacturing,MN,On-site,78.4
Engineer,Tata Consultancy Services,PA,On-site,95
Cloud Performance Engineer Summer Intern,Pegasystems,MA,On-site,NA
IAM Security Engineer,Cloudflare,TX,Hybrid,137
Engineer II - .NET,GEICO,MD,On-site,60
"Software Developer II, Studios Tech, Studios Core Software",Prime Video & Amazon MGM Studios,NA,NA,129.3
Asset Servicing - Software Engineer - Associate - SLC - GBM Public,Goldman Sachs,NA,NA,NA
Internship - Software Product Engineer - Computational Lithography,ASML,CA,On-site,NA
"Research Scientist, Gemini Multilinguality",Google DeepMind,CA,Hybrid,136
(Early Career) Systems Engineer I - Intern Conversion,Blue Origin,WA,On-site,74.3
Splunk Engineer,Epic,WI,On-site,NA
Lead Machine Learning Engineer - Python,Kforce Inc,DE,Hybrid,125
"Associate, Systems Engineer (Rockwall, TX)",L3Harris Technologies,TX,On-site,NA
Digital Service Engineer,Alfa Laval,IN,On-site,72
Engineer,Tata Consultancy Services,TX,On-site,115
"Engineer, Fire Protection Systems",Constellation,PA,On-site,NA
Senior IT Systems Engineer,The Reynolds and Reynolds Company,NA,NA,NA
"Senior Specialist, Federal Data Engineer",KPMG US,NA,NA,NA
Application Engineer,Jobot,TX,On-site,60
"Staff Software Engineer, Employer Product",Handshake,NA,NA,180
Staff Embedded Software Engineer - R10178518,Northrop Grumman,NA,NA,147.7
System Engineer,Axient,AL,On-site,NA
Test Automation Engineer (embedded system),Capgemini Engineering,NA,On-site,NA
Staff Developer Relations Engineer,Arm,TX,Hybrid,NA
Infrastructure Resilience Engineer,Dewberry,VA,On-site,NA
Principal / Sr. Principal Systems Engineer - R10178526,Northrop Grumman,NA,NA,95.3
Lead Product Software Engineer - Engineering Leader,Capgemini Engineering,NA,On-site,101.3
Principal/Sr. Principal Systems Engineer - TS/SCI - R10175819,Northrop Grumman,NA,NA,107.3
